Title,CategoryName,Address,Neighborhood,Street,City,State,CountryCode,Website,Phone,Location,PlusCode
Krnjevo - BAROVO winery and vineyards,Winery,"109 1437, North Macedonia",null,109 1437,null,null,MK,https://tikves.com.mk/en/domaine-barovo/,null,"41.3153854, 22.1279782","848H+55 Krnjevo, North Macedonia"
"Family winery ""Micevi""",Winery,"Braka Miladinovi 55, Negotino 1440, North Macedonia",null,Braka Miladinovi 55,Negotino,null,MK,null,+389 70 916 794,"41.4769755, 22.0890711","F3GQ+QJ Negotino, North Macedonia"
"Kralska Vinarija ""Kralica Marija""",Winery,"Marshal Tito 63, 1442, North Macedonia",null,Marshal Tito 63,null,null,MK,http://www.wineryqueenmaria.com/,+389 43 446 500,"41.41392, 22.233563","C67M+HC Demir Kapija, North Macedonia"
"Winery ""Kitvin""",Winery,"MK, R1103, Vozartsi 1424, North Macedonia",null,"MK, R1103",Vozartsi,null,MK,null,null,"41.4342679, 21.924049","CWMF+PJ Vozartsi, North Macedonia"
BOVIN WINERY,Winery,"Ulica 29 Noemvri br, Negotino 1440, North Macedonia",null,Ulica 29 Noemvri br,Negotino,null,MK,http://bovin.mk/,+389 43 371 433,"41.4890625, 22.0885625","F3QQ+JC Negotino, North Macedonia"
GD Tikves Winery,Winery,"Ul. Kamendol - Trstenik S MK, Trstenik 1422, North Macedonia",null,Ul. Kamendol - Trstenik S MK,Trstenik,null,MK,null,+389 43 415 916,"41.475839, 21.9211189","FWGC+8C Trstenik, North Macedonia"
"Vinarija ""Vardar""",Winery,"C2Q2+CHG, Kavadarci, North Macedonia",null,C2Q2+CHG,Kavadarci,null,MK,null,null,"41.4385582, 22.0014642",null
"Vinarija ""Povardarie Anevski""",Winery,"F29M+M4Q, Marena, North Macedonia",null,F29M+M4Q,Marena,null,MK,http://www.acpwinery.com/,+389 43 445 455,"41.4692103, 22.0328551",null
"Winery ""Ilijevi""",Winery,"C2MH+X8J, Kavadarci, North Macedonia",null,C2MH+X8J,Kavadarci,null,MK,null,null,"41.4349507, 22.0282654",null
MILEV Winery,Winery,"Ul. Kamendol - Trstenik S, Trstenik 1422, North Macedonia",null,Ul. Kamendol - Trstenik S,Trstenik,null,MK,null,null,"41.4758331, 21.9211223","FWGC+8C Trstenik, North Macedonia"
MG-Winery,Winery,"Industriska 2, Kavadarci 1430, North Macedonia",null,Industriska 2,Kavadarci,null,MK,null,+389 70 253 465,"41.442416, 21.9999796","CXRX+XX Kavadarci, North Macedonia"
Traikovsky Wines & Spirits,Winery,"109, Krnjevo, North Macedonia",null,109,Krnjevo,null,MK,http://www.traikovsky.com/,+389 43 370 287,"41.3069414, 22.1272239","844G+QV Krnjevo, North Macedonia"
Anevski Winery,Winery,"Q53C+VH7, Shtip, North Macedonia",null,Q53C+VH7,Shtip,null,MK,http://www.acpwinery.com/,+389 70 394 157,"41.7546567, 22.1714311",null
